name,profile,p[1]_q25,p[1]_q50,p[1]_q75,p[2]_q25,p[2]_q50,p[2]_q75,p[3]_q25,p[3]_q50,p[3]_q75,p[4]_q25,p[4]_q50,p[4]_q75,p[5]_q25,p[5]_q50,p[5]_q75,p[6]_q25,p[6]_q50,p[6]_q75,p[7]_q25,p[7]_q50,p[7]_q75,p[8]_q25,p[8]_q50,p[8]_q75,p[9]_q25,p[9]_q50,p[9]_q75,p[10]_q25,p[10]_q50,p[10]_q75,RE_q25,RE_q50,RE_q75
2M1134-2103,SIE+shear,1.241997,1.243486,1.24477725,-0.0199565,-0.01841635,-0.017168705,-0.0136027325,-0.01163171,-0.009994998,0.1485191,0.1639562,0.184430175,16.03802,19.944105,23.2170875,0.3132277,0.3187415,0.323029675,46.1151625,46.22963,46.34483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.24851325,1.251046,1.253979
2M1310-1714,SIS+shear,2.988683,2.9898085,2.99075525,0.001192365,0.002398993,0.00350575875,-0.2449379,-0.243056,-0.2412824,0.0,0.0,0.0,0.0,0.0,0.0,0.06542797,0.06578467,0.06620631,25.44369,25.462545,25.48281,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.988583,2.9897085,2.99065525
A2213-2652,SIE,0.67073445,0.6733757,0.6756533,-0.002147742,0.0001042403,0.0022521959999999,-0.002025525,-0.00016772305,0.0019245505,0.1984395,0.221428,0.2393994499999999,-49.09464,-47.963350000000005,-46.45446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6771604,0.6812879,0.6848047
ATLASJ2344-3056,SIE,0.483264475,0.4845695,0.4859426,-0.0412762775,-0.03943391,-0.03749342,0.0218925,0.02314739,0.0242105725,0.33134205,0.3396042,0.34802285,70.61159,70.735355,70.85122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.49897645,0.4998277,0.5009484
B0128+437,SIE+shear,0.2035718,0.2152936,0.225413,-0.009315533,-0.003688862,0.002542604,-0.00849079425,-0.004686619,-0.001029687,0.4070148,0.5172830500000001,0.6192969,17.548,22.63607,28.9562075,0.178518,0.2151167,0.2532698,-51.66078,-45.30911,-37.2319325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2320806,0.2365638,0.2412694
B0445+123,SIE,0.6639130249999999,0.6718793,0.6790688,-0.001984261,-5.122923e-05,0.002081388,-0.002004208,0.000136858,0.00204284775,0.3265688,0.3352636,0.3480042,-24.25255,-19.647785,-14.78436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6829954,0.6920294499999999,0.7011269
B0712+472,SIS,0.6857548,0.6869244999999999,0.6880264,-0.08367305,-0.08252702,-0.08134061,-0.087762645,-0.0861900449999999,-0.0846398475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.685655,0.6868247000000001,0.6879266
B0739+366,SIS,0.265179025,0.2665504,0.2679575,0.00464998925,0.0059816739999999,0.0072884562499999,-0.0002481497,0.001718846,0.0035894615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.265079025,0.2664504,0.2678575
B1030+074,SIE,0.844971725,0.84779525,0.8498393,-0.002002461,3.564691e-05,0.001997245,-0.002233841,-0.0003490364,0.001835772,0.373281575,0.4198262,0.4483081,21.2405025,23.40506,24.86528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8788213,0.8935998,0.9034982
B1127+385,SIE,0.3298078,0.3332766,0.3374926,-0.002074284,1.871943e-05,0.002049821,-0.002263894,-0.0003383335,0.001612466,0.3534444,0.3732187,0.3914724499999999,26.96751,27.94274,29.15799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3443012,0.34667345,0.34936625
B1152+200,SIE,0.8309958,0.8330917,0.8350614,-0.002255756,7.475028e-05,0.002183988,-0.00200077,2.41796e-05,0.002325323,0.4329695,0.4482839,0.460734,53.76057,54.36342,55.126427500000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.880107775,0.8862203,0.8915435
B1422+231,SIE+shear,0.7496058999999999,0.7547914,0.759391575,-0.002466707,-0.0007746576,0.0009288716,-0.003312801,-0.001789975,-0.000379156825,0.277635925,0.3068369,0.3355466,56.068005,56.7215,57.378455,0.1563641,0.1679369,0.1792397,51.71854,52.312275,52.916395,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7719893250000001,0.7733785,0.7747264
B1600+434,SIE,0.6602824,0.6696853,0.6785486,-0.00230759,-6.753869e-05,0.001990269,-0.0021606645,-0.0002264046,0.00198009375,0.245796525,0.2693236,0.2967846,-37.5597,-33.752005,-29.73357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.67496,0.681649,0.6882915
B2045+265,SIS+shear,1.130967,1.132284,1.133566,-0.003867392,-0.001906215,0.00012731045,-0.006358037,-0.004990827,-0.003639927,0.0,0.0,0.0,0.0,0.0,0.0,0.1801362,0.1810952,0.1819385499999999,69.35733,69.42209,69.481,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.130867,1.132184,1.133466
B2108+213,SIE,2.309918,2.3218,2.332663,-0.002209321,-0.0001608538,0.001851531,-0.001776675,0.00021998845,0.002285962,0.08718917,0.1155743,0.1464167,38.76182,41.989795,47.62194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3134697500000003,2.32838,2.343466
BRI0952-0115,SIS+shear,0.5179406,0.5243356,0.5303073,-0.002109958,-0.00019334655,0.001804845,-0.001627829,0.0003253182,0.00233182975,0.0,0.0,0.0,0.0,0.0,0.0,0.05380853,0.0614404199999999,0.07002467,-72.62316,-68.09815,-64.82056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5178405,0.5242354,0.530207
COSMOS5921+0638,SIS,0.70945425,0.7103878,0.7114016,0.00381903225,0.004931763,0.006112191,0.01187952,0.01362037,0.01470589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.70935405,0.7102876,0.7113014
CY2201-3201,SIS,0.5132094,0.5176489,0.5227424,-0.03920978,-0.03461654,-0.03019319,-0.03316984,-0.02779229,-0.02182581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5131092,0.5175487,0.5226421
DES01xx-24xx,SIE,0.9279981,0.9328589,0.9380037,-0.0021316877499999,-4.280016e-05,0.002147637,-0.00242580325,-0.000196547,0.001671294,0.1030459,0.1141278,0.1345933249999999,6.369038,13.45503,20.68644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.930014,0.9352789,0.9416524
DES0247-6349,SIE,0.720532225,0.7257888,0.7304362,-0.002383985,-0.0005818335999999,0.001459492,-0.002042056,6.734853e-05,0.001644791,0.1190039,0.1249952,0.1354015,-11.963705,-3.910761,5.364581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7227365,0.7279748500000001,0.7326925
DES03xx-44xx,SIS,0.96893195,0.9703375,0.9717985,-0.0028466755,-0.0008340258,0.00126313375,-0.0051430439999999,-0.0039568945,-0.002723013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.96883165,0.9702372,0.9716982
DES2158-5812,SIE,0.9584092,0.9632801,0.9674315,-0.002333178,-0.000343435,0.001739161,-0.002226428,-0.00012352535,0.001931687,0.100627975,0.1232895,0.150423025,17.19548,20.638115,25.70216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9604568,0.9663848,0.9719117
